Player Name,Country,Matches Played,Innings,Not Outs,Runs,Average,Balls Faced,Strike Rate,Hundereds,Fifties
Soumya Sarkar (BDESH),BAN,55,54,3,1728,33.88,1753,98.57,2,11
Imran Farhat (PAK),PAK,58,58,2,1719,30.69,2489,69.06,1,13
Rashid Latif (PAK),PAK,166,117,29,1709,19.42,2237,76.39,0,3
DA Gunawardene (SL),SL,61,61,1,1708,28.46,2389,71.49,1,12
AT Rayudu (INDIA),IND,55,50,14,1694,47.05,2143,79.04,3,10
ND McKenzie (SA),SA,64,55,10,1688,37.51,2432,69.4,2,10
KLT Arthurton (WI),WI,92,83,18,1674,25.75,2376,70.45,0,8
BA Young (NZ),NZ,74,73,5,1668,24.52,2733,61.03,0,9
IA Healy (AUS),AUS,149,107,32,1648,21.97,1951,84.46,0,4
AR Border (AUS),AUS,81,72,15,1638,28.73,2162,75.76,0,7
UDU Chandana (SL),SL,147,111,17,1627,17.3,2229,72.99,0,5
KC Wessels (SA),SA,55,54,4,1627,32.54,3143,51.76,0,12
CK Kapugedera (SL),SL,102,84,7,1624,21.09,2254,72.04,0,8
M Prabhakar (INDIA),IND,98,78,14,1589,24.82,2621,60.62,1,11
LPC Silva (SL),SL,75,62,7,1587,28.85,2254,70.4,1,13
Najibullah Zadran (AFG),AFG,67,62,9,1586,29.92,1765,89.85,1,11
SC Williams (WI),WI,57,55,6,1586,32.36,2402,66.02,1,12
N Dickwella (SL),SL,52,49,1,1571,32.72,1679,93.56,2,9
DR Smith (WI),WI,105,89,5,1560,18.57,1683,92.69,0,8
AH Jones (NZ),NZ,59,59,5,1555,28.79,2815,55.23,0,10
IK Pathan (INDIA),IND,120,87,21,1544,23.39,1941,79.54,0,5
Azhar Mahmood (PAK),PAK,143,110,26,1521,18.1,1988,76.5,0,3
RS Morton (WI),WI,56,51,6,1519,33.75,2289,66.36,2,10
HJH Marshall (NZ),NZ,66,62,9,1454,27.43,1990,73.06,1,12
MR Marsh (AUS),AUS,53,49,9,1428,35.7,1534,93.08,1,11
N Boje (SA),SA,113,69,18,1410,27.64,1579,89.29,2,4
L Ronchi (AUS/NZ),,85,68,9,1397,23.67,1220,114.5,1,4
JM Kemp (SA),SA,79,60,18,1371,32.64,1656,82.78,1,9
Asad Shafiq (PAK),PAK,60,58,4,1336,24.74,1979,67.5,0,9
Sabbir Rahman (BDESH),BAN,66,59,7,1333,25.63,1461,91.23,1,6
KMDN Kulasekara (SL),SL,184,123,37,1327,15.43,1629,81.46,0,4
JR Hopes (AUS),AUS,84,61,8,1326,25.01,1415,93.71,0,3
Javed Omar (BDESH),BAN,59,59,4,1312,23.85,2528,51.89,0,10
Raqibul Hasan (BDESH),BAN,55,54,7,1308,27.82,2133,61.32,0,8
MS Sinclair (NZ),NZ,54,50,4,1304,28.34,2086,62.51,2,8
KM Jadhav (INDIA),IND,68,47,17,1289,42.96,1270,101.49,2,6
MJ Prior (ENG),ENG,68,62,9,1282,24.18,1670,76.76,0,3
Nasir Hossain (BDESH),BAN,65,52,8,1281,29.11,1605,79.81,1,6
NR Mongia (INDIA),IND,140,96,33,1272,20.19,1846,68.9,0,2
C Munro (NZ),NZ,57,53,2,1271,24.92,1214,104.69,0,8
JEC Franklin (NZ),NZ,110,80,27,1270,23.96,1651,76.92,0,4
AB Agarkar (INDIA),IND,191,113,26,1269,14.58,1574,80.62,0,3
Basit Ali (PAK),PAK,50,43,6,1265,34.18,1669,75.79,1,9
JDS Neesham (NZ),NZ,59,50,10,1247,31.17,1260,98.96,0,6
SG Law (AUS),AUS,54,51,5,1237,26.89,1643,75.28,1,7
Alok Kapali (BDESH),BAN,69,66,3,1235,19.6,1817,67.96,1,5
D Mongia (INDIA),IND,57,51,7,1230,27.95,1721,71.47,1,4
HDPK Dharmasena (SL),SL,141,87,33,1222,22.62,1879,65.03,0,4
Noor Ali Zadran (AFG),AFG,51,50,1,1216,24.81,1923,63.23,1,7
Harbhajan Singh (INDIA),IND,234,126,35,1213,13.32,1502,80.75,0,0
Junaid Siddique (BDESH),BAN,54,53,1,1196,23,1753,68.22,1,6
Mohammad Rafique (BDESH),BAN,123,104,16,1190,13.52,1657,71.81,0,2
CR Woakes (ENG),ENG,99,68,20,1186,24.7,1316,90.12,0,4
B Lee (AUS),AUS,221,110,44,1176,17.81,1407,83.58,0,3
TM Moody (AUS),AUS,69,57,10,1149,24.44,1651,69.59,0,10
MF Maharoof (SL),SL,109,75,18,1113,19.52,1294,86.01,0,2
VS Solanki (ENG),ENG,51,46,5,1097,26.75,1504,72.93,2,5
F Behardien (SA),SA,59,49,14,1074,30.68,1097,97.9,0,6
NL McCullum (NZ),NZ,84,62,11,1070,20.98,1220,87.7,0,4
KD Mills (NZ),NZ,170,101,34,1047,15.62,1282,81.66,0,2
Gulbadin Naib (AFG),AFG,65,56,8,1041,21.68,1424,73.1,0,5
AD Russell (WI),WI,56,47,9,1034,27.21,794,130.22,0,4
JP Faulkner (AUS),AUS,69,52,22,1032,34.4,990,104.24,1,4
SK Warne (AUS),AUS,193,106,28,1016,13.02,1411,72,0,1
Khaled Mahmud (BDESH),BAN,77,72,3,991,14.36,1461,67.83,0,1
Asif Mujtaba (PAK),PAK,59,49,13,990,27.5,1572,62.97,1,5
MJ Horne (NZ),NZ,50,48,0,980,20.41,1515,64.68,0,5
Naeem Islam (BDESH),BAN,59,51,15,975,27.08,1473,66.19,0,5
Waqar Younis (PAK),PAK,254,138,44,965,10.26,1432,67.38,0,0
SA Thomson (NZ),NZ,56,52,10,964,22.95,1427,67.55,0,5
HH Pandya (INDIA),IND,54,38,6,957,29.9,828,115.57,0,4
Imad Wasim (PAK),PAK,53,39,16,952,41.39,868,109.67,0,5
MG Johnson (AUS),AUS,153,91,32,951,16.11,987,96.35,0,2
CM Spearman (NZ),NZ,51,50,0,936,18.72,1202,77.87,0,5
AJ Hall (SA),SA,88,56,13,905,21.04,1206,75.04,0,3
Rashid Khan (AFG),AFG,71,56,9,905,19.25,906,99.88,0,4
A Kumble (INDIA),IND,269,134,47,903,10.37,1481,60.97,0,0
MJ Santner (NZ),NZ,69,54,21,898,27.21,1021,87.95,0,2
J Srinath (INDIA),IND,229,121,38,883,10.63,1109,79.62,0,1
TT Bresnan (ENG),ENG,85,64,20,871,19.79,965,90.25,0,1
DJ Richardson (SA),SA,122,77,33,868,19.72,1298,66.87,0,1
TT Samaraweera (SL),SL,53,42,11,862,27.8,1244,69.29,2,0
RS Kalpage (SL),SL,86,69,28,844,20.58,1320,63.93,0,1
N Kapil Dev (INDIA),IND,77,62,14,843,17.56,1081,77.98,0,0
BM McMillan (SA),SA,78,52,16,841,23.36,1147,73.32,1,0
YK Pathan (INDIA),IND,57,41,11,810,27,713,113.6,2,3
GB Hogg (AUS),AUS,123,65,26,790,20.25,1004,78.68,0,2
Abdur Razzak (BDESH),BAN,153,97,39,779,13.43,1020,76.37,0,1
JA Morkel (SA),SA,56,41,10,760,24.51,750,101.33,0,2
Z Khan (INDIA),IND,194,96,31,753,11.58,1041,72.33,0,0
MA Ealham (ENG),ENG,64,45,4,716,17.46,1092,65.56,0,0
IJ Harvey (AUS),AUS,73,51,11,715,17.87,811,88.16,0,0
Saqlain Mushtaq (PAK),PAK,169,98,38,711,11.85,1434,49.58,0,0
LJ Wright (ENG),ENG,50,39,4,707,20.2,820,86.21,0,2
PL Symcox (SA),SA,80,54,13,694,16.92,830,83.61,0,3
Wahab Riaz (PAK),PAK,89,64,15,680,13.87,787,86.4,0,2
JR Murray (WI),WI,55,36,6,678,22.6,929,72.98,0,5
TG Southee (NZ),NZ,140,85,32,676,12.75,686,98.54,0,1
R Ashwin (INDIA),IND,111,61,19,675,16.07,776,86.98,0,1
M Muralitharan (SL),SL,343,161,63,674,6.87,867,77.73,0,0
LE Plunkett (ENG),ENG,89,50,19,646,20.83,629,102.7,0,1
BMAJ Mendis (SL),SL,58,44,10,636,18.7,769,82.7,0,1
GR Larsen (NZ),NZ,121,70,27,629,14.62,970,64.84,0,0
DJ Nash (NZ),NZ,81,53,13,624,15.6,940,66.38,0,0
D Gough (ENG),ENG,158,87,38,609,12.42,947,64.3,0,0
AU Rashid (ENG),ENG,99,43,12,588,18.96,574,102.43,0,1
SB Joshi (INDIA),IND,69,45,11,584,17.17,653,89.43,0,1
J Botha (SA),SA,76,48,17,578,18.64,693,83.4,0,0
C White (ENG),ENG,51,41,5,568,15.77,928,61.2,0,1
SL Malinga (SL),SL,226,119,36,567,6.83,761,74.5,0,1
RJ Peterson (SA),SA,79,41,14,556,20.59,688,80.81,0,1
AL Phehlukwayo (SA),SA,52,32,15,549,32.29,610,90,0,1
SCJ Broad (ENG),ENG,121,68,25,529,12.3,709,74.61,0,0
B Kumar (INDIA),IND,114,52,15,526,14.21,703,74.82,0,1
Naved-ul-Hasan (PAK),PAK,74,51,18,524,15.87,620,84.51,0,0
CEL Ambrose (WI),WI,141,78,26,515,9.9,767,67.14,0,0
Dawlat Zadran (AFG),AFG,82,56,27,513,17.68,664,77.25,0,0
WD Parnell (SA),SA,65,38,14,508,21.16,648,78.39,0,1
PR Reiffel (AUS),AUS,92,57,21,503,13.97,709,70.94,0,1
AR Nurse (WI),WI,54,40,14,502,19.3,513,97.85,0,0
GP Swann (ENG),ENG,79,48,12,500,13.88,553,90.41,0,0
R McLaren (SA),SA,54,41,15,485,18.65,680,71.32,0,1
AJ Bichel (AUS),AUS,67,36,13,471,20.47,600,78.5,0,1
AC Cummins (WI),WI,63,41,11,459,15.3,551,83.3,0,0
Umar Gul (PAK),PAK,130,65,18,457,9.72,642,71.18,0,0
Sohail Tanvir (PAK),PAK,62,40,11,399,13.75,458,87.11,0,1
DN Patel (NZ),NZ,54,43,9,393,11.55,500,78.6,0,1
Mushtaq Ahmed (PAK),PAK,132,73,32,387,9.43,677,57.16,0,0
AF Giles (ENG),ENG,62,35,13,385,17.5,551,69.87,0,0
CC Lewis (ENG),ENG,53,40,14,374,14.38,459,81.48,0,0
SP Narine (WI),WI,65,45,12,363,11,441,82.31,0,0
Mohammad Amir (PAK),PAK,61,30,10,363,18.15,444,81.75,0,2
R Rampaul (WI),WI,92,40,11,362,12.48,472,76.69,0,1
PAJ DeFreitas (ENG),ENG,58,35,11,362,15.08,467,77.51,0,1
Shoaib Akhtar (PAK),PAK,158,80,39,361,8.8,508,71.06,0,0
DW Steyn (SA),SA,123,49,12,361,9.75,547,65.99,0,1
IR Bishop (WI),WI,63,35,14,356,16.95,675,52.74,0,0
MA Starc (AUS),AUS,85,46,18,348,12.42,389,89.46,0,1
RDB Croft (ENG),ENG,50,36,12,345,14.37,519,66.47,0,0
GP Wickramasinghe (SL),SL,134,64,24,344,8.6,543,63.35,0,0
DNT Zoysa (SL),SL,95,47,21,343,13.19,358,95.81,0,0
NM Hauritz (AUS),AUS,58,32,17,336,22.4,349,96.27,0,1
Tapash Baisya (BDESH),BAN,56,41,13,336,12,576,58.33,0,0
Saeed Ajmal (PAK),PAK,113,70,24,324,7.04,535,60.56,0,0
Mohammad Sami (PAK),PAK,87,46,19,314,11.62,490,64.08,0,0
KAJ Roach (WI),WI,92,57,34,308,13.39,576,53.47,0,0
DR Tuffey (NZ),NZ,94,52,21,295,9.51,372,79.3,0,0
SE Bond (NZ),NZ,82,40,22,292,16.22,384,76.04,0,0
P Kumar (INDIA),IND,68,33,12,292,13.9,331,88.21,0,1
JN Gillespie (AUS),AUS,97,39,16,289,12.56,368,78.53,0,0
IDR Bradshaw (WI),WI,62,34,11,287,12.47,480,59.79,0,0
NO Miller (WI),WI,50,27,13,284,20.28,359,79.1,0,1
Hasan Ali (PAK),PAK,53,29,9,280,14,247,113.36,0,2
JE Taylor (WI),WI,90,42,9,278,8.42,323,86.06,0,0
JM Anderson (ENG),ENG,194,79,43,273,7.58,561,48.66,0,0
Aaqib Javed (PAK),PAK,144,47,23,265,11.04,443,59.81,0,0
K Rabada (SA),SA,75,28,12,259,16.18,333,77.77,0,0
AR Caddick (ENG),ENG,54,38,18,249,12.45,395,63.03,0,0
RAS Lakmal (SL),SL,85,48,22,244,9.38,404,60.39,0,0
CRD Fernando (SL),SL,146,61,35,239,9.19,392,60.96,0,0
M Morkel (SA),SA,114,45,17,239,8.53,321,74.45,0,0
Iftikhar Anjum (PAK),PAK,62,34,19,234,15.6,378,61.9,0,0
PJ Cummins (AUS),AUS,58,35,12,234,10.17,328,71.34,0,0
M Dillon (WI),WI,108,51,20,227,7.32,411,55.23,0,0
BKV Prasad (INDIA),IND,161,63,31,221,6.9,367,60.21,0,0
MJ Henry (NZ),NZ,52,21,7,211,15.07,211,100,0,0
M Ntini (SA),SA,172,46,23,199,8.65,298,66.77,0,0
NW Bracken (AUS),AUS,116,35,18,199,11.7,282,70.56,0,0
C Pringle (NZ),NZ,64,41,19,193,8.77,256,75.39,0,0
CA Walsh (WI),WI,122,52,22,192,6.4,284,67.6,0,0
CJ McKay (AUS),AUS,59,31,10,190,9.04,337,56.37,0,0
BAW Mendis (SL),SL,87,42,19,188,8.17,263,71.48,0,0
PS de Villiers (SA),SA,83,36,15,170,8.09,218,77.98,0,0
Imran Tahir (SA),SA,107,36,16,157,7.85,225,69.77,0,0
DK Morrison (NZ),NZ,82,39,24,156,10.4,356,43.82,0,0
TA Boult (NZ),NZ,89,39,23,154,9.62,209,73.68,0,0
DW Fleming (AUS),AUS,88,31,18,152,11.69,221,68.77,0,0
CR Matthews (SA),SA,56,22,9,141,10.84,202,69.8,0,0
A Nehra (INDIA),IND,117,45,21,140,5.83,244,57.37,0,0
Rubel Hossain (BDESH),BAN,101,52,24,140,5,249,56.22,0,0
HMRKB Herath (SL),SL,71,30,15,140,9.33,217,64.51,0,0
Mohammed Shami (INDIA),IND,70,33,15,136,7.55,163,83.43,0,0
ST Finn (ENG),ENG,69,30,13,136,8,223,60.98,0,0
Arshad Khan (PAK),PAK,58,29,18,133,12.09,217,61.29,0,0
Shafiul Islam (BDESH),BAN,59,33,11,129,5.86,235,54.89,0,0
A Nel (SA),SA,79,22,12,127,12.7,166,76.5,0,0
DBL Powell (WI),WI,55,25,3,118,5.36,164,71.95,0,0
GD McGrath (AUS),AUS,249,67,38,115,3.96,235,48.93,0,0
CJ McDermott (AUS),AUS,74,34,8,108,4.15,149,72.48,0,0
CD Collymore (WI),WI,84,35,17,104,5.77,261,39.84,0,0
RP Singh (INDIA),IND,58,20,10,104,10.4,242,42.97,0,0
XJ Doherty (AUS),AUS,60,23,16,101,14.42,184,54.89,0,0
Kuldeep Yadav (INDIA),IND,53,20,12,101,12.62,173,58.38,0,0
AA Donald (SA),SA,164,40,18,95,4.31,279,34.05,0,0
SJ Harmison (ENG),ENG,58,25,14,91,8.27,141,64.53,0,0
AD Mullally (ENG),ENG,50,25,10,86,5.73,238,36.13,0,0
Syed Rasel (BDESH),BAN,52,27,11,81,5.06,185,43.78,0,0
UT Yadav (INDIA),IND,75,24,14,79,7.9,134,58.95,0,0
Shahadat Hossain (BDESH),BAN,51,27,17,79,7.9,151,52.31,0,0
Mustafizur Rahman (BDESH),BAN,56,27,17,78,7.8,136,57.35,0,0
MM Patel (INDIA),IND,70,27,16,74,6.72,112,66.07,0,0
CK Langeveldt (SA),SA,72,21,10,73,6.63,124,58.87,0,0
FH Edwards (WI),WI,50,22,14,73,9.12,160,45.62,0,0
I Sharma (INDIA),IND,80,28,13,72,4.8,203,35.46,0,0
Junaid Khan (PAK),PAK,76,31,17,68,4.85,127,53.54,0,0
RD King (WI),WI,50,23,14,65,7.22,203,32.01,0,0
LL Tsotsobe (SA),SA,61,21,13,56,7,109,51.37,0,0
MA Wood (ENG),ENG,51,17,10,56,8,63,88.88,0,0
Mohammad Irfan (PAK),PAK,60,33,21,48,4,149,32.21,0,0
S Sreesanth (INDIA),IND,53,21,10,44,4,121,36.36,0,0
YS Chahal (INDIA),IND,50,8,3,39,7.8,72,54.16,0,0
SLV Raju (INDIA),IND,53,16,8,32,4,67,47.76,0,0
JJ Bumrah (INDIA),IND,58,13,8,19,3.8,43,44.18,0,0
